"Tuberculosis incidence (per 100,000 people)",,,,,,,,,,,,,,,,,,
HDI Rank (2017),Country,2000,,2005,,2010,,2011,,2012,,2013,,2014,,2015,,2016
168,Afghanistan,190,,189,,189,,189,,189,,189,,189,,189,,189
68,Albania,22,,19,,17,,17,,16,,19,,16,,16,,16
85,Algeria,74,,80,,77,,73,,73,,67,,72,,74,,70
35,Andorra,21,,15,,9.5,,4.1,,13,,7.1,,8.7,,5.9,,6
147,Angola,297,,368,,384,,383,,380,,376,,370,,370,,370
70,Antigua and Barbuda,5.5,,7.7,,8.5,,7.2,,3.6,,12,,3.5,,5,,3.4
47,Argentina,37,,31,,20,,27,,24,,24,,25,,25,,24
83,Armenia,54,,92,,61,,55,,53,,60,,57,,47,,44
3,Australia,6.3,,5.9,,6.5,,6.3,,6.6,,6.2,,6.5,,6.1,,6.1
20,Austria,17,,13,,9.1,,9.1,,8.4,,8.4,,7.5,,7.5,,8.2
80,Azerbaijan,80,,88,,104,,125,,86,,78,,76,,71,,66
54,Bahamas,32,,17,,9.9,,13,,9.9,,10,,15,,18,,26
43,Bahrain,36,,36,,23,,20,,20,,18,,16,,14,,12
136,Bangladesh,221,,221,,221,,221,,221,,221,,221,,221,,221
58,Barbados,1.3,,4,,2.5,,0,,1.6,,1.6,,2,,0,,1.2
53,Belarus,83,,74,,69,,67,,64,,61,,58,,55,,52
17,Belgium,14,,12,,11,,10,,9.4,,9.3,,9.1,,9.5,,10
106,Belize,49,,41,,52,,26,,29,,40,,24,,25,,38
163,Benin,86,,73,,68,,67,,66,,64,,61,,60,,59
134,Bhutan,249,,192,,225,,208,,188,,176,,172,,153,,178
118,Bolivia (Plurinational State of),184,,158,,135,,131,,127,,123,,120,,117,,114
77,Bosnia and Herzegovina,82,,70,,44,,46,,48,,44,,42,,39,,32
101,Botswana,914,,728,,518,,480,,445,,414,,385,,356,,326
79,Brazil,51,,50,,44,,44,,42,,45,,43,,42,,42
39,Brunei Darussalam,106,,51,,70,,67,,70,,60,,55,,58,,66
51,Bulgaria,52,,52,,41,,37,,36,,33,,32,,28,,27
183,Burkina Faso,70,,64,,58,,57,,55,,54,,54,,52,,51
185,Burundi,290,,195,,144,,138,,133,,128,,126,,122,,118
125,Cabo Verde,160,,153,,147,,145,,144,,143,,138,,139,,137
146,Cambodia,575,,511,,436,,423,,411,,400,,390,,368,,345
151,Cameroon,309,,311,,260,,251,,242,,235,,220,,212,,203
12,Canada,6.4,,5.5,,4.6,,4.8,,5.4,,5.3,,5.1,,5.2,,5.2
188,Central African Republic,1070,,687,,431,,402,,378,,359,,375,,391,,407
186,Chad,151,,151,,151,,151,,151,,151,,159,,152,,153
44,Chile,23,,18,,16,,16,,16,,16,,16,,17,,16
86,China,109,,92,,77,,76,,74,,70,,68,,66,,64
90,Colombia,36,,30,,31,,32,,32,,31,,30,,31,,32
165,Comoros,39,,36,,33,,34,,34,,34,,35,,35,,35
137,Congo,356,,426,,386,,383,,382,,382,,381,,379,,378
176,Congo (Democratic Republic of the),327,,327,,327,,327,,327,,326,,325,,324,,323
63,Costa Rica,19,,16,,14,,14,,13,,11,,12,,11,,9.5
46,Croatia,42,,28,,18,,17,,14,,14,,13,,13,,12
73,Cuba,12,,7.9,,8.4,,8.2,,7.4,,7.6,,7.3,,7,,6.9
32,Cyprus,4,,3.8,,6.3,,5.2,,6.4,,4.1,,3.9,,6.2,,5.6
27,Czechia,16,,11,,6.8,,6.2,,6.1,,5.1,,5.1,,5.5,,5
170,Côte d'Ivoire,367,,267,,196,,186,,178,,170,,165,,159,,153
11,Denmark,13,,8.4,,6.9,,7.4,,7,,6.7,,5.9,,6.5,,6.1
172,Djibouti,692,,496,,613,,532,,493,,441,,304,,362,,335
103,Dominica,4.9,,12,,13,,3.2,,11,,4.8,,1.6,,11,,7.8
94,Dominican Republic,100,,82,,67,,65,,62,,60,,60,,60,,60
86,Ecuador,99,,70,,59,,59,,59,,56,,54,,52,,50
115,Egypt,26,,21,,18,,17,,17,,16,,15,,15,,14
121,El Salvador,32,,37,,34,,38,,41,,44,,44,,49,,60
141,Equatorial Guinea,96,,106,,129,,136,,144,,153,,162,,172,,181
179,Eritrea,177,,149,,108,,112,,114,,101,,83,,70,,74
30,Estonia,61,,42,,28,,25,,24,,22,,20,,18,,16
144,Eswatini (Kingdom of),831,,1180,,1260,,1020,,861,,783,,647,,485,,398
173,Ethiopia,421,,341,,268,,253,,239,,224,,207,,192,,177
92,Fiji,22,,20,,27,,31,,30,,36,,53,,51,,59
15,Finland,12,,7.4,,6.6,,6.7,,5.5,,5.6,,5.3,,5.6,,4.7
24,France,12,,9.5,,8.8,,8.7,,8.6,,8.6,,8.2,,8.1,,7.7
110,Gabon,515,,592,,473,,453,,436,,423,,444,,465,,485
174,Gambia,185,,191,,178,,176,,175,,173,,174,,174,,174
70,Georgia,254,,175,,127,,122,,119,,116,,106,,99,,92
5,Germany,13,,8,,5.8,,5.8,,5.7,,5.9,,6.1,,8,,8.1
140,Ghana,216,,203,,183,,178,,173,,168,,165,,160,,156
31,Greece,7.3,,7.1,,4.5,,4.6,,5.2,,5,,4.9,,4.5,,4.4
75,Grenada,0,,1.7,,4.4,,2.2,,1.1,,0.6,,0,,5.4,,6.4
127,Guatemala,31,,36,,28,,25,,28,,27,,25,,26,,24
175,Guinea,228,,210,,186,,183,,180,,177,,177,,177,,176
177,Guinea-Bissau,305,,361,,372,,376,,382,,387,,369,,373,,374
125,Guyana,70,,106,,119,,118,,124,,112,,89,,93,,93
168,Haiti,270,,272,,229,,220,,213,,206,,200,,194,,188
133,Honduras,123,,57,,44,,48,,44,,43,,40,,41,,40
7,"Hong Kong, China (SAR)",104,,95,,81,,77,,78,,76,,76,,71,,69
45,Hungary,35,,21,,18,,15,,14,,12,,9.4,,10,,8.8
6,Iceland,5.3,,3.9,,7.9,,2.8,,3.5,,3.9,,2.8,,2.4,,2.1
130,India,289,,279,,247,,241,,234,,228,,223,,217,,211
116,Indonesia,449,,437,,415,,410,,407,,403,,399,,395,,391
60,Iran (Islamic Republic of),22,,16,,17,,18,,18,,18,,16,,16,,14
120,Iraq,50,,48,,45,,45,,45,,45,,43,,43,,43
4,Ireland,12,,12,,9.6,,9.6,,8.4,,8.7,,7.3,,7.2,,7.1
22,Israel,10,,6.5,,5.3,,6.3,,7.6,,4.5,,5.2,,4,,3.5
28,Italy,7,,7.5,,8.7,,6.6,,6,,5.8,,6.5,,6.7,,6.1
97,Jamaica,6,,4.1,,5.8,,4.6,,4,,4.2,,3.8,,4.5,,4.5
19,Japan,36,,24,,20,,20,,19,,18,,18,,16,,16
95,Jordan,7.5,,8,,5.9,,5.4,,5.2,,5.2,,5.5,,5.8,,5.6
58,Kazakhstan,166,,186,,145,,134,,121,,107,,93,,79,,67
142,Kenya,451,,630,,531,,506,,471,,443,,423,,380,,348
134,Kiribati,373,,449,,348,,410,,406,,469,,469,,552,,566
n.a,Korea (Democratic People's Rep. of),513,,513,,513,,513,,513,,513,,513,,513,,513
22,Korea (Republic of),49,,94,,95,,99,,94,,89,,85,,79,,77
56,Kuwait,29,,26,,37,,24,,25,,22,,22,,22,,24
122,Kyrgyzstan,244,,210,,145,,141,,140,,141,,142,,144,,145
139,Lao People's Democratic Republic,330,,270,,221,,213,,204,,197,,189,,182,,175
41,Latvia,122,,75,,51,,50,,50,,50,,49,,40,,37
80,Lebanon,20,,11,,14,,12,,15,,15,,14,,13,,12
159,Lesotho,992,,1280,,1120,,1050,,985,,916,,852,,788,,724
181,Liberia,240,,267,,293,,299,,304,,308,,308,,308,,308
108,Libya,40,,40,,40,,40,,40,,40,,40,,40,,40
35,Lithuania,102,,86,,73,,70,,68,,65,,62,,55,,53
21,Luxembourg,12,,9.3,,6.6,,5.5,,9.7,,8,,5,,6.1,,5.8
161,Madagascar,293,,262,,241,,238,,236,,233,,235,,236,,237
171,Malawi,392,,397,,332,,312,,294,,261,,227,,193,,159
57,Malaysia,75,,69,,76,,80,,86,,91,,92,,88,,92
101,Maldives,59,,48,,33,,29,,36,,36,,39,,46,,49
182,Mali,77,,69,,63,,62,,61,,60,,58,,57,,56
29,Malta,4.6,,6.2,,8,,8.2,,11,,14,,12,,8.6,,13
106,Marshall Islands,81,,267,,460,,331,,344,,353,,336,,326,,422
159,Mauritania,250,,181,,135,,128,,121,,115,,111,,107,,102
65,Mauritius,24,,23,,22,,21,,21,,21,,22,,22,,22
74,Mexico,23,,21,,21,,21,,21,,21,,21,,21,,22
131,Micronesia (Federated States of),106,,115,,198,,179,,174,,181,,226,,124,,177
112,Moldova (Republic of),80,,142,,116,,119,,124,,127,,115,,102,,101
n.a,Monaco,0,,1.5,,3.1,,2.4,,1.5,,0.6,,0,,0,,0
92,Mongolia,162,,228,,205,,191,,183,,189,,192,,197,,183
50,Montenegro,,,29,,20,,20,,18,,22,,21,,15,,16
123,Morocco,115,,99,,101,,100,,99,,99,,101,,101,,103
180,Mozambique,513,,523,,545,,548,,551,,551,,551,,551,,551
148,Myanmar,411,,403,,384,,380,,376,,373,,369,,365,,361
129,Namibia,711,,918,,649,,610,,552,,518,,480,,495,,446
n.a,Nauru,46,,125,,34,,57,,67,,78,,90,,113,,112
149,Nepal,163,,163,,163,,162,,161,,159,,158,,156,,154
10,Netherlands,9,,7.9,,7.1,,6.7,,6.3,,5.7,,5.5,,5.8,,5.9
16,New Zealand,10,,9.2,,7.9,,7.9,,7.5,,6.9,,7.5,,7.3,,7.3
124,Nicaragua,60,,44,,53,,58,,59,,58,,55,,51,,48
189,Niger,191,,143,,113,,109,,105,,102,,98,,95,,93
157,Nigeria,219,,219,,219,,219,,219,,219,,219,,219,,219
1,Norway,5.6,,6.9,,6.9,,7.4,,7.9,,8.2,,6.8,,6.3,,6.1
48,Oman,16,,12,,12,,12,,13,,10,,10,,9,,9
150,Pakistan,275,,276,,276,,276,,276,,275,,270,,270,,268
60,Palau,65,,58,,107,,67,,22,,44,,76,,76,,123
119,"Palestine, State of",3.2,,1,,0.9,,1,,0.9,,1.1,,1.2,,1.1,,1
66,Panama,48,,61,,53,,55,,50,,47,,47,,52,,55
153,Papua New Guinea,432,,432,,432,,432,,432,,432,,432,,432,,432
110,Paraguay,42,,43,,42,,43,,44,,40,,39,,41,,42
89,Peru,186,,153,,132,,131,,123,,122,,121,,119,,117
113,Philippines,590,,539,,531,,535,,539,,543,,546,,550,,554
33,Poland,33,,25,,21,,24,,21,,21,,20,,19,,18
41,Portugal,47,,36,,28,,27,,27,,26,,24,,23,,20
37,Qatar,54,,43,,37,,33,,40,,30,,23,,25,,23
52,Romania,143,,140,,105,,97,,92,,89,,86,,82,,74
49,Russian Federation,95,,87,,86,,81,,76,,73,,70,,68,,66
158,Rwanda,98,,101,,88,,82,,76,,69,,63,,56,,50
72,Saint Kitts and Nevis,0,,0,,4.5,,2.2,,4.4,,0,,15,,5.4,,0
90,Saint Lucia,6.6,,9.8,,6,,4.6,,7.2,,5.9,,3.9,,9.1,,1.9
99,Saint Vincent and the Grenadines,17,,7.4,,16,,18,,32,,3.2,,5.3,,7.4,,6.3
104,Samoa,28,,15,,8.6,,12,,13,,13,,14,,11,,7.7
n.a,San Marino,4.2,,0,,0,,0,,0,,0,,0,,0,,0
143,Sao Tome and Principe,114,,105,,96,,94,,93,,91,,97,,97,,99
39,Saudi Arabia,19,,17,,19,,16,,15,,13,,12,,12,,10
164,Senegal,155,,141,,136,,136,,136,,136,,138,,139,,140
67,Serbia,,,40,,30,,28,,24,,27,,24,,21,,19
62,Seychelles,28,,18,,21,,26,,25,,30,,16,,9.8,,15
184,Sierra Leone,305,,316,,317,,316,,314,,313,,310,,307,,304
9,Singapore,51,,35,,35,,36,,50,,46,,46,,45,,51
38,Slovakia,22,,15,,8.7,,8,,6.8,,8.4,,6.8,,6.5,,5.9
25,Slovenia,21,,15,,9.5,,10,,7.5,,7.7,,7.9,,7.2,,6.5
152,Solomon Islands,91,,106,,80,,92,,82,,80,,75,,89,,84
n.a,Somalia,285,,285,,286,,286,,286,,285,,274,,274,,270
113,South Africa,585,,932,,948,,922,,892,,860,,834,,807,,781
187,South Sudan,,,,,,,146,,146,,146,,146,,146,,146
26,Spain,22,,19,,17,,16,,14,,13,,12,,10,,10
76,Sri Lanka,66,,66,,66,,66,,66,,66,,65,,65,,65
167,Sudan,128,,117,,107,,105,,103,,100,,94,,88,,82
100,Suriname,24,,29,,46,,29,,30,,32,,33,,33,,26
7,Sweden,5.4,,6.9,,7.5,,6.5,,7.1,,7.3,,7.5,,9.2,,8.2
2,Switzerland,9.3,,8,,7.5,,7.6,,6,,6.6,,5.9,,7.3,,7.8
155,Syrian Arab Republic,39,,29,,22,,22,,18,,17,,23,,19,,21
127,Tajikistan,219,,196,,128,,117,,108,,100,,91,,86,,85
154,Tanzania (United Republic of),503,,510,,426,,401,,378,,336,,327,,306,,287
83,Thailand,241,,224,,181,,176,,172,,170,,171,,172,,172
80,The former Yugoslav Republic of Macedonia,39,,36,,23,,20,,21,,19,,17,,17,,16
132,Timor-Leste,,,498,,498,,498,,498,,498,,498,,498,,498
165,Togo,52,,71,,76,,73,,69,,64,,58,,52,,46
98,Tonga,28,,20,,12,,9.9,,12,,11,,14,,15,,8.6
69,Trinidad and Tobago,18,,15,,19,,19,,23,,21,,21,,17,,18
95,Tunisia,26,,26,,28,,35,,37,,34,,35,,38,,38
64,Turkey,33,,33,,25,,24,,22,,20,,20,,18,,18
108,Turkmenistan,112,,84,,79,,66,,70,,71,,59,,68,,60
n.a,Tuvalu,195,,138,,153,,130,,204,,191,,158,,209,,207
162,Uganda,276,,233,,210,,207,,205,,203,,202,,202,,201
88,Ukraine,114,,127,,110,,105,,101,,96,,94,,91,,87
34,United Arab Emirates,4.2,,2.6,,1.8,,1.4,,1,,1,,0.8,,0.8,,0.8
14,United Kingdom,12,,15,,14,,15,,14,,13,,11,,10,,9.9
13,United States,6.7,,5.5,,4.2,,3.9,,3.7,,3.3,,3.2,,3.3,,3.1
55,Uruguay,22,,22,,24,,28,,27,,30,,29,,30,,29
105,Uzbekistan,99,,120,,97,,93,,89,,86,,82,,79,,76
138,Vanuatu,110,,83,,69,,67,,65,,62,,63,,63,,56
78,Venezuela (Bolivarian Republic of),33,,32,,28,,27,,27,,27,,26,,29,,32
116,Viet Nam,197,,176,,155,,151,,147,,144,,140,,137,,133
178,Yemen,116,,80,,52,,50,,48,,48,,48,,48,,48
144,Zambia,759,,602,,495,,475,,456,,437,,406,,391,,376
156,Zimbabwe,605,,588,,416,,384,,355,,304,,278,,242,,208
17,Liechtenstein,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Last updated: January 30, 2019",,,,,,,,,,,,,,,,,,
